rgb_luminance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,patch_background.started,patch_background.stopped,patch_foreground.started,patch_foreground.stopped,patch_test.started,patch_test.stopped,key_response.keys,key_response.rt,key_response.started,key_response.stopped,text_task.started,text_task.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.9,2,7,25,8,138.22315570001956,None,138.22315570001956,None,138.22315570001956,None,right,0.4073090999154374,138.30469070002437,None,138.22315570001956,None,138.73986950004473,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.45,2,8,26,3,138.954002100043,None,138.954002100043,None,138.954002100043,None,right,0.44348399993032217,139.03796560002957,None,138.954002100043,None,139.5102334000403,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.6,3,0,27,6,139.7206400000723,None,139.7206400000723,None,139.7206400000723,None,right,0.4885867000557482,139.80953330011107,None,139.7206400000723,None,140.32181160000619,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.55,3,1,28,5,140.5362851000391,None,140.5362851000391,None,140.5362851000391,None,right,0.3334048999240622,140.61935300007463,None,140.5362851000391,None,140.9717443000991,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.4,3,2,29,2,141.18635780003387,None,141.18635780003387,None,141.18635780003387,None,left,1.477077699964866,141.26930950011592,None,141.18635780003387,None,142.77077990002,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.5,3,3,30,4,142.9846350000007,None,142.9846350000007,None,142.9846350000007,None,right,1.3563408999470994,143.0676766000688,None,142.9846350000007,None,144.4515543000307,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.7,3,4,31,7,144.66588080010843,None,144.66588080010843,None,144.66588080010843,None,right,0.6028943000128493,144.7489364000503,None,144.66588080010843,None,145.3872771000024,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.45,3,5,32,3,145.59860750008374,None,145.59860750008374,None,145.59860750008374,None,left,0.5186087000183761,145.68132840003818,None,145.59860750008374,None,146.21680270007346,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.3,3,6,33,1,146.4309615000384,None,146.4309615000384,None,146.4309615000384,None,left,0.501710900105536,146.51412490010262,None,146.4309615000384,None,147.05590570007917,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.1,3,7,34,0,147.26373700005934,None,147.26373700005934,None,147.26373700005934,None,left,0.37274579994846135,147.3469181000255,None,147.26373700005934,None,147.74868770001922,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.9,3,8,35,8,147.96324060007464,None,147.96324060007464,None,147.96324060007464,None,right,0.42732839996460825,148.04662480007391,None,147.96324060007464,None,148.4980267001083,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.45,4,0,36,3,148.7124586000573,None,148.7124586000573,None,148.7124586000573,None,right,0.39633449993561953,148.79552530008368,None,148.7124586000573,None,149.230863600038,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.5,4,1,37,4,149.44596720009577,None,149.44596720009577,None,149.44596720009577,None,right,0.47921290004160255,149.52937950007617,None,149.44596720009577,None,150.03268640011083,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
0.1,4,2,38,0,150.24592270003632,None,150.24592270003632,None,150.24592270003632,None,left,0.5914423000067472,150.33017320011277,None,150.24592270003632,None,150.94971650000662,None,e_rgb,001,2022_Jan_23_1109,contrast,2021.2.3,60.10702657477622,
